#MM connector pin;channel number;Tiger connector pin;Tiger connector pin
#in Schematics_TIGER_GEM_L.pdf;in Schematics_TIGER_GEM_L.pdf;in Schematics_TIGER_GEM_L.pdf;In FEB3_pinout.pdf
1;2;141;138
2;GND (MM GND);;
3;4;142;140
4;1;136;128
5;6;143;142
6;3;135;126
7;8;144;144
8;5;134;124
9;10;140;136
10;7;133;122
11;12;139;134
12;9;132;120
13;14;138;132
14;11;131;118
15;16;137;130
16;13;130;116
17;18;72;143
18;15;129;114
19;20;71;141
20;17;128;112
21;22;70;139
22;19;127;110
23;24;69;137
24;21;126;108
25;26;68;135
26;23;125;106
27;28;67;133
28;25;124;104
29;30;46;91
30;27;123;102
31;32;45;89
32;29;122;100
33;34;44;87
34;31;121;98
35;36;43;85
36;33;120;96
37;38;42;83
38;35;119;94
39;40;41;81
40;37;118;92
41;42;40;79
42;39;117;90
43;44;39;77
44;41;116;88
45;46;38;75
46;43;115;86
47;48;37;73
48;45;114;84
49;50;36;71
50;47;113;82
51;52;35;69
52;49;112;80
53;54;34;67
54;51;111;78
55;56;33;65
56;53;110;76
57;58;32;63
58;55;109;74
59;60;31;61
60;57;108;72
61;62;30;59
62;59;107;70
63;64;29;57
64;61;106;68
65;66;28;55
66;63;105;66
67;68;27;53
68;65;104;64
69;70;26;51
70;67;103;62
71;72;25;49
72;69;102;60
73;74;24;47
74;71;101;58
75;76;23;45
76;73;100;56
77;78;22;43
78;75;99;54
79;80;21;41
80;77;98;52
81;82;20;39
82;79;97;50
83;84;19;37
84;81;96;48
85;86;18;35
86;83;95;46
87;88;17;33
88;85;94;44
89;90;16;31
90;87;93;42
91;92;15;29
92;89;92;40
93;94;14;27
94;91;91;38
95;96;13;25
96;93;90;36
97;98;12;23
98;95;89;34
99;100;11;21
100;97;88;32
101;102;10;19
102;99;87;30
103;104;9;17
104;101;86;28
105;106;8;15
106;103;85;26
107;108;7;13
108;105;84;24
109;110;6;11
110;107;83;22
111;112;5;9
112;109;82;20
113;114;4;7
114;111;81;18
115;116;3;5
116;113;80;16
117;118;2;3
118;115;79;14
119;120;1;1
120;117;78;12
121;GND;;
122;119;77;10
123;GND;;
124;121;76;8
125;GND;;
126;123;75;6
127;GND;;
128;125;74;4
129;GND (MM GND);;
130;127;73;2
