"MM Strip";"PANASONIC Pin";"FEB Pin"
24;123;1
13;112;2
22;121;3
15;114;4
20;119;5
17;116;6
18;117;7
19;118;8
16;115;9
21;120;10
14;113;11
23;122;12
12;111;13
25;124;14
EXT1;-;15
95;65;16
96;67;17
94;64;18
97;68;19
93;63;20
98;69;21
92;62;22
99;70;23
91;61;24
100;71;25
90;60;26
101;72;27
89;59;28
102;73;29
88;58;30
103;74;31
87;57;32
104;75;33
86;56;34
105;76;35
85;55;36
106;77;37
84;54;38
107;78;39
83;53;40
108;79;41
82;52;42
109;80;43
81;51;44
110;81;45
80;50;46
111;82;47
79;49;48
112;83;49
78;48;50
113;84;51
77;47;52
114;85;53
76;46;54
115;86;55
75;45;56
116;87;57
74;44;58
117;88;59
73;43;60
118;89;61
72;42;62
119;90;63
71;41;64
120;91;65
70;40;66
121;92;67
69;39;68
11;110;69
68;38;70
10;109;71
67;37;72
9;108;73
66;36;74
8;107;75
65;35;76
7;106;77
64;34;78
6;105;79
63;33;80
0;99;81
62;32;82
1;100;83
61;31;84
2;101;85
60;30;86
3;102;87
59;29;88
4;103;89
58;28;90
5;104;91
57;27;92
56;26;94
55;25;96
54;24;98
53;23;100
52;22;102
51;21;104
50;20;106
49;19;108
48;18;110
47;17;112
46;16;114
45;15;116
44;14;118
43;13;120
42;12;122
41;11;124
40;10;126
39;9;128
38;8;130
37;7;132
26;125;133
36;6;134
27;126;135
35;5;136
28;127;137
34;4;138
29;128;139
33;3;140
30;129;141
32;2;142
31;130;143
EXT0;-;144
